text,label
"Our rules are normally pretty hard on image posts, but I'm going to exercise my judgement and approve this anyways because this is possibly the funniest DIY kludge I've seen in years.",brewing_methods
"this is actually super clever, verging on genius. rice cookers have a thermal switch that disables the heating element when the vessel sitting on it gets above the boiling point of water.",brewing_methods
"truth, new, more expensive, rice cookers use induction now. and they heat from the sides. One must know rice cooker mechanics to complete this setup.",brewing_methods
It's all a $15 rice cooker and a cheap 3 cup moka pot.,brewing_methods
How long does it take to make coffee? Do you start with hot or cold water?,brewing_methods
The grounds aren't in contact with water until the vapor when it's boiling so it theoretically shouldn't matter if it's hot or cold. Moka pots generally take a few minutes to make coffee.,brewing_methods
"Today's pot from cold water cooler water took about 15 minutes. I used a small paper filter cut from a larger drip coffee filter. Today's coffee tastes a little tart, even after adding ice.",brewing_methods
"I have used cold water from the water cooler, that took about 12 mins. I have used hot water from the keurig, that process was a lot faster, about 5-6 mins.",brewing_methods
The auto shutoff works because once there's no water left the temperature rises very quickly and causes a magnet to temporarily lose its magnetism. Since a moka pot does not empty its lower chamber completely it will never trigger the auto-off.,brewing_methods
"Does not turn off by itself. You have to keep your eye on it. About 5 mins with hot water, 8-9 with refrigerated water. It's longer than on my gas range at home.",brewing_methods
Lol I do this everyday just with a pan underneath since the coffee maker doesnt work with induction.,brewing_methods
I broke down and splurged on a bialetti induction one. Works like a charm as long as you don't power boil.,brewing_methods
One of the keys to making good Moka Pot coffee is keeping the temperature really stable. Adding a small amount of water would help distribute the heat more evenly.,brewing_methods
"I just fill the reservoir with water, place, and press cook. I don't want to complicate the process any further, I'm at work.",brewing_methods
"You used hot water because it has more minerals in it, interesting. Might be worth testing your hot water vs cold water to confirm.",brewing_methods
"I tried one after your comment, the taste is slightly cleaner, less astringent, some more crema.",brewing_methods
"Moka pots are fun, but they do not make espresso.",brewing_methods
Also the steam wand can easily be upgraded to the rancilio wand which helps give more control over steaming.,brewing_methods
"After many months of doing mostly 16:1 to 16.67:1 ratio V60 brews, I went to 18:1 after finally realizing that is how the coffee compass steers a brew toward sweet and fruity. During a month of brewing only 18:1, I found all the brews were very good to great.",brewing_methods
I tried a 13.33:1 brew. I ground a bit finer than I had been grinding to make up for the lower extraction from using a lot less water to coffee.,brewing_methods
"The coffee was not very good to me. It was not bitter but just harsh and had no sweetness at all - and this was a coffee that at 18:1 brews was sugar syrupy sweet with nice, tart, fruity notes.",brewing_methods
"I don't really have anything to add other than interesting, I didn't realize 18:1 was a ratio one could use reasonably on the v60. I'm going to try that because I love light, fruity coffees.",brewing_methods
I would think that the less water to coffee you use the less extraction you get and therefore it'll be a bit more on the sour side of things.,brewing_methods
One of the biggest challenges for many people is that their coffee is both over-extracted and under-extracted. This will happen when the water hasn't had an equal opportunity at all of the grounds.,brewing_methods
Judging what you're doing wrong with the coffee compass or descriptions of over and under-extracted coffee is difficult. I recommend that getting even extraction should be the first priority.,brewing_methods
"I mainly did the Hoffmann method, and stuck to getting 60% of the water in the brew by 1:15 mark. Most brews finished in about the same time as a 16:1 ratio with same coffee.",brewing_methods
An interesting experiment is to take your normal 16:1 brew and dilute it. If you like it diluted you prefer the lower strength.,brewing_methods
Making a concentrated coffee is going to taste much harsher and stronger. But it sounds like you prefer a more delicate brew.,brewing_methods
"I started doing Tetsu Kasuya's new one pour, fine grind, 12:1 ratio method. He aimed at getting more sweetness out of the brewing method.",brewing_methods
"I accidentally used 1:18 this morning vs. 1:16 that I normally do and I noticed a significant reduction in the bitter/sour notes, and it was a more pleasant experience overall.",brewing_methods
14:1 is my standard ratio and I get consistently great cups of coffee. For my tastes anything more dilute starts to taste watery.,brewing_methods
"If you grind too fine, water has a hard time evenly penetrating the coffee bed. This leads to mostly underextraction along with localized over extraction due to channeling.",brewing_methods
In my experience larger brewing ratios have a similar effect to putting a drop of water in a spirit. The overall taste concentration is less but the individual notes are more spaced out and easier to detect.,brewing_methods
